source,identifier,title,abstract,subjects
Springer,10.1007/s11930-024-00397-y,The Impact of Artificial Intelligence on Human Sexuality: A Five-Year Literature Review 2020–2024,"Purpose of Review Millions of people now use generative artificial intelligence (GenAI) tools in their daily lives for a variety of purposes, including sexual ones. This narrative literature review provides the first scoping overview of current research on generative AI use in the context of sexual health and behaviors. Recent Findings The review includes 88 peer-reviewed English language publications from 2020 to 2024 that report on 106 studies and address four main areas of AI use in sexual health and behaviors among the general population: (1) People use AI tools such as ChatGPT to obtain sexual information and education. We identified k  = 14 publications that evaluated the quality of AI-generated sexual health information. They found high accuracy and completeness. (2) People use AI tools such as ChatGPT and dedicated counseling/therapy chatbots to solve their sexual and relationship problems. We identified k  = 16 publications providing empirical results on therapists’ and clients’ perspectives and AI tools’ therapeutic capabilities with mixed but overall promising results. (3) People use AI tools such as companion and adult chatbots (e.g., Replika) to experience sexual and romantic intimacy. We identified k  = 22 publications in this area that confirm sexual and romantic gratifications of AI conversational agents, but also point to risks such as emotional dependence. (4) People use image- and video-generating AI tools to produce pornography with different sexual and non-sexual motivations. We found k  = 36 studies on AI pornography that primarily address the production, uses, and consequences of – as well as the countermeasures against – non-consensual deepfake pornography. This sort of content predominantly victimizes women and girls whose faces are swapped into pornographic material and circulated without their consent. Research on ethical AI pornography is largely missing. Summary Generative AI tools present new risks and opportunities for human sexuality and sexual health. More research is needed to better understand the intersection of GenAI and sexuality in order to a) help people navigate their sexual GenAI experiences, b) guide sex educators, counselors, and therapists on how to address and incorporate AI tools into their professional work, c) advise AI developers on how to design tools that avoid harm, d) enlighten policymakers on how to regulate AI for the sake of sexual health, and e) inform journalists and knowledge workers on how to report about AI and sexuality in an evidence-based manner.","['Medicine & Public Health', 'Urology', 'Endocrinology', 'Urology', 'Endocrinology']"
Springer,10.1007/s13280-024-02086-5,Reaping what we sow: Centering values in food systems transformations research,"In many transdisciplinary research settings, a lack of attention to the values underpinning project aims can inhibit stakeholder engagement and ultimately slow or undermine project outcomes. As a research collective (The Careoperative), we have developed a set of four shared values through a facilitated visioning process, as central to the way we work together: care, reflexivity, inclusivity, and collectivity. In this paper, we explore the implications of a values-centered approach to collaboration in food system transformation research. The paper presents two cases that illustrate how researchers might approach centering values in practice. Where much research on food system transformation focuses on values of food system stakeholders, we contribute insights into the values of researchers in such transdisciplinary endeavors. Specifically, we argue that researchers working on sustainability transformations need to be better prepared to engage in such reflections and aspire to embody values aligned with the transformations they seek to research.","['Environment', 'Environment, general', 'Ecology', 'Atmospheric Sciences', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology', 'Environmental Sciences', 'Ecology', 'Atmospheric Science', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology']"
Springer,10.1007/s12083-024-01826-4,A multi-cycle recursive clustering algorithm for the analysis of social media data streams,"Events are usually embedded in latent topics and the extraction of these latent topics are enabled by event detection algorithms. Unsupervised algorithms like Clustering algorithms are very useful for detecting events but with requirements which may not be relevant or easy to determine when using unstructured textual social media data. For instance, some algorithms are required to be used on specific data shapes, but determining the shape of an unstructured data may not be practical aside from the high level of noise in the data. Many of the existing algorithms work well with structured data, however, some of these algorithms can be adapted to unstructured data with the caveat that cluster formations may not contain consistent contextual information. We propose a novel Multi-Cycle Recursive Clustering Algorithm (MCRCA), able to sequentially eliminate noise, resulting in high homogeneous cluster formations. MCRCA does not require the initial specification of clusters numbers as the estimated number of clusters can be deduced at convergence. Our algorithm out-performs the classical LDA and K-Means algorithms in forming highly homogeneous clusters, context-wise.","['Engineering', 'Communications Engineering, Networks', 'Information Systems and Communication Service', 'Computer Communication Networks', 'Signal,Image and Speech Processing', 'Communications Engineering, Networks', 'Computer Engineering and Networks', 'Computer Communication Networks', 'Signal, Speech and Image Processing']"
Springer,10.1007/s13280-024-02083-8,Geodesign to advance boundary work in urban planning: A study in Stockholm focused on nature-based solutions,"Geodesign supports collaborative urban planning by managing ‘boundaries’ between diverse knowledge holders. However, there is a paucity of empirical evidence of its contribution to ‘boundary work’. This paper aims to evaluate how a geodesign process facilitates knowledge co-production through boundary work and to assess the scientific credibility, political saliency, and procedural legitimacy of its outputs in urban planning. We propose a replicable geodesign framework to assess boundary work, and test it in a case study on urban transformations with nature-based solutions in the Skarpnäck district of Stockholm, Sweden. Findings indicate that all geodesign steps facilitated communication by promoting collective reasoning. Participants acknowledged contributions to knowledge co-production and decision-making by mediating between different perspectives. However, data quality and modeling simplicity were identified as critical factors affecting the outputs’ perceived credibility. Future applications should include co-designing the geodesign process, improving capacity and skills, and facilitating more integrated planning.","['Environment', 'Environment, general', 'Ecology', 'Atmospheric Sciences', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology', 'Environmental Sciences', 'Ecology', 'Atmospheric Science', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology']"
Springer,10.1007/s10695-024-01418-2,Evaluation of carp sperm respiration: fluorometry with optochemical oxygen sensor versus polarography,"The primary function of spermatozoa is to fertilize the oocyte, which depends on their motility and is directly associated with their metabolic state. The oxygen consumption rate (OCR) of spermatozoa reflects the respiratory capacity of sperm mitochondria under various physiological conditions and is an essential marker of sperm quality. We determined the OCR of common carp ( Cyprinus carpio ) sperm using two respirometry methods: the conventionally used polarographic method with a Clark-type electrode and fluorometric assay with an Oxo Dish optochemical oxygen sensor. The latter was used for the first time to evaluate spermatozoa oxygen consumption in various metabolic states (under different treatments) at different dilution rates. These two methods were compared using Bland–Altman analysis, and the applicability of the optochemical oxygen sensor for evaluating carp sperm oxygen consumption was discussed. Sperm motility and progressive velocity parameters were also assessed to evaluate the effect of sperm respiration under different metabolic states and dilution rates and preincubation period on the physiological status of spermatozoa. The comparison of these respirometry methods clearly shows that while the polarographic method allows immediate measurement of oxygen levels after adding a sperm sample, the optochemical oxygen sensor has a priority in the amount of data obtained due to simultaneous measurements of several samples (e.g., different males, different fish species, repetitions of the same sample or various experimental conditions), even at a later time after adding sperm to the measuring chamber. However, the compared methods are complementary, and the proposed methodology can be applied to other fish species.","['Life Sciences', 'Freshwater & Marine Ecology', 'Animal Physiology', 'Animal Anatomy / Morphology / Histology', 'Animal Biochemistry', 'Zoology', 'Freshwater and Marine Ecology', 'Animal Physiology', 'Animal Anatomy', 'Chemical Biology', 'Zoology']"
Springer,10.1007/s13280-024-02091-8,A conceptual framework of indicators for the suitability of forests for outdoor recreation,"Forests’ ability to provide opportunities for recreation is an important ecosystem service. This has prompted attempts to create indicators to assess forests' suitability for recreation, although hitherto with limited success. This study introduces a novel framework for indicators of potential and realised recreational values of forests, with a primary focus on Sweden and Fennoscandia. We divided forest attributes into intrinsic qualities (i.e. the structure and composition of the forest), extrinsic qualities (i.e. the location of the forest in relation to other components of the landscape), and facilitation qualities (i.e. the presence of recreational infrastructure). Using Fennoscandia as a case study, we performed a literature review to find specific indicators of recreational values, as well as evaluate the current availability of spatial data suitable to map the forest qualities on a national scale. The most important intrinsic quality we identified was tree size/age, whereas for extrinsic quality it was proximity to water. Systematic monitoring of recreational use is essential to estimate realised recreational values. The conceptual framework proved to be a valuable tool for identifying potential indicators, and applying it in other regions is likely to yield useful outcomes.","['Environment', 'Environment, general', 'Ecology', 'Atmospheric Sciences', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology', 'Environmental Sciences', 'Ecology', 'Atmospheric Science', 'Physical Geography', 'Environmental Management', 'Environmental Engineering/Biotechnology']"
Springer,10.1007/s13346-024-01679-7,3D printed microneedles: revamping transdermal drug delivery systems,"One of the advancements of the transdermal drug delivery system (TDDS) is the development of microneedles (MNs). These micron-sized needles are used for delivering various types of drugs to address the disadvantage of other transdermal techniques as well as oral drug delivery systems. MNs have high patient acceptance due to self-administration with minimally invasive and pain compared to the parenteral drug delivery. Over the years, various methods have been adopted to evolve the MNs and make them more cost-effective, accurate, and suitable for multiple applications. One such method is the 3D printing of MNs. The development of MN platforms using 3D printing has been made possible by improved features like precision, printing resolution, and the feasibility of using low-cost raw materials. In this review, we have tried to explain various types of MNs, fabrication methods, materials used in the formulation of MNs, and the recent applications that utilize 3D-printed MNs.","['Biomedicine', 'Pharmaceutical Sciences/Technology', 'Pharmaceutics']"
Springer,10.1007/s11071-024-10333-3,Exploring iterative and non-iterative Fourier series-based methods of control optimization in application to a discontinuous capsule drive model,"The paper explains iterative and non-iterative approaches to control optimization with use of the Fourier series-based method. Both variants of the presented algorithm are used to numerically approximate optimal control of a discontinuous pendulum capsule drive. Firstly, the general algorithm and its two realizations (iterative and non-iterative) are presented. It is shown that the iterative variant assures non-decreasing quality of solutions in subsequent repetitions of the procedure and the background of such guarantees is explained. A numerical example follows: control of a self-propelled capsule drive is optimized using both approaches. Results are compared and discussed. It is expected that the presented methods can be useful in optimal control estimation for complex systems, particularly discontinuous ones.","['Physics', 'Applications of Nonlinear Dynamics and Chaos Theory', 'Statistical Physics and Dynamical Systems', 'Classical Mechanics', 'Vibration, Dynamical Systems, Control', 'Multibody Systems and Mechanical Vibrations', 'Classical Mechanics', 'Mechanical Engineering', 'Applied and Technical Physics']"
Springer,10.1038/s41586-024-08168-4,Offline ensemble co-reactivation links memories across days,"Memories are encoded in neural ensembles during learning^ 1 – 6 and are stabilized by post-learning reactivation^ 7 – 17 . Integrating recent experiences into existing memories ensures that memories contain the most recently available information, but how the brain accomplishes this critical process remains unclear. Here we show that in mice, a strong aversive experience drives offline ensemble reactivation of not only the recent aversive memory but also a neutral memory formed 2 days before, linking fear of the recent aversive memory to the previous neutral memory. Fear specifically links retrospectively, but not prospectively, to neutral memories across days. Consistent with previous studies, we find that the recent aversive memory ensemble is reactivated during the offline period after learning. However, a strong aversive experience also increases co-reactivation of the aversive and neutral memory ensembles during the offline period. Ensemble co-reactivation occurs more during wake than during sleep. Finally, the expression of fear in the neutral context is associated with reactivation of the shared ensemble between the aversive and neutral memories. Collectively, these results demonstrate that offline ensemble co-reactivation is a neural mechanism by which memories are integrated across days. In mice, a strong aversive experience drives offline ensemble reactivation of not only the recent aversive memory but also a neutral memory formed 2 days before, linking fear of the recent aversive memory to the previous neutral memory.","['Science, Humanities and Social Sciences, multidisciplinary', 'Science, Humanities and Social Sciences, multidisciplinary', 'Science, multidisciplinary', 'Life Sciences', 'Physical Sciences', 'Technology and Engineering', 'Mathematics and Computing', 'Humanities and Social Sciences']"
Springer,10.1038/s41586-024-08279-y,Endogenous self-peptides guard immune privilege of the central nervous system,"Despite the presence of strategically positioned anatomical barriers designed to protect the central nervous system (CNS), it is not entirely isolated from the immune system^ 1 , 2 . In fact, it remains physically connected to, and can be influenced by, the peripheral immune system^ 1 . How the CNS retains such responsiveness while maintaining an immunologically unique status remains an outstanding question. Here, in searching for molecular cues that derive from the CNS and enable its direct communication with the immune system, we identified an endogenous repertoire of CNS-derived regulatory self-peptides presented on major histocompatibility complex class II (MHC-II) molecules in the CNS and at its borders. During homeostasis, these regulatory self-peptides were found to be bound to MHC-II molecules throughout the path of lymphatic drainage from the brain to its surrounding meninges and its draining cervical lymph nodes. However, in neuroinflammatory disease, the presentation of regulatory self-peptides diminished. After boosting the presentation of these regulatory self-peptides, a population of suppressor CD4^+ T cells was expanded, controlling CNS autoimmunity in a CTLA-4- and TGFβ-dependent manner. CNS-derived regulatory self-peptides may be the molecular key to ensuring a continuous dialogue between the CNS and the immune system while balancing overt autoreactivity. This sheds light on how we conceptually think about and therapeutically target neuroinflammatory and neurodegenerative diseases. Central nervous system (CNS)-derived regulatory self-peptides are essential for maintaining a continuous dialogue between the CNS and the immune system while balancing overt autoreactivity.","['Science, Humanities and Social Sciences, multidisciplinary', 'Science, Humanities and Social Sciences, multidisciplinary', 'Science, multidisciplinary', 'Life Sciences', 'Physical Sciences', 'Technology and Engineering', 'Mathematics and Computing', 'Humanities and Social Sciences']"
